Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
100051,Marketing,55,118336,18,176,100,Yes
100052,IT,57,52583,21,168,100,Yes
100053,Support,21,99944,1,225,100,Yes
100054,Marketing,23,42369,24,225,100,Yes
100055,HR,44,67928,21,250,100,Yes
100056,Support,47,88950,12,154,100,Yes
100057,Finance,56,39510,10,189,100,Yes
100058,Sales,54,32120,2,161,82,Yes
100059,HR,49,119847,9,147,100,Yes
100060,Sales,44,118575,2,168,75,No
100061,Operations,44,25295,23,126,100,Yes
100062,Finance,24,40460,24,225,100,Yes
100063,Finance,23,34963,22,147,100,Yes
100064,HR,54,97116,14,144,100,Yes
100065,Finance,43,107822,11,144,100,Yes
100066,Marketing,43,47328,23,200,100,Yes
100067,Finance,25,104629,11,176,100,Yes
100068,Sales,51,41605,17,180,100,Yes
100069,Sales,26,64813,4,184,100,Yes
100070,Support,57,66371,13,207,100,Yes
100071,Sales,30,67598,7,150,80,Yes
100072,Support,27,80776,16,138,100,Yes
100073,Sales,59,92258,1,189,86,Yes
100074,Marketing,58,60969,13,192,100,Yes
100075,Support,41,56912,1,192,94,Yes
100076,IT,40,58374,11,225,100,Yes
100077,Operations,23,92302,6,240,100,Yes
100078,HR,42,82784,20,160,100,Yes
100079,Sales,24,69882,3,168,99,Yes
100080,Finance,48,35928,12,192,100,Yes
100081,Sales,32,41274,5,210,100,Yes
100082,Finance,58,54416,9,132,82,Yes
100083,Operations,56,106148,12,138,100,Yes
100084,Operations,25,80998,10,126,93,Yes
100085,Operations,33,49047,19,168,100,Yes
100086,Finance,43,63356,5,126,91,Yes
100087,Sales,50,57134,5,230,100,Yes
100088,Operations,57,87042,9,250,100,Yes
100089,Marketing,45,71310,20,168,100,Yes
100090,Support,47,100758,17,154,100,Yes
100091,Finance,34,32363,10,200,100,Yes
100092,Finance,56,105149,21,144,100,Yes
100093,Sales,59,64563,1,176,96,Yes
100094,Finance,36,50628,22,250,100,Yes
100095,Finance,42,89672,16,192,100,Yes
100096,Operations,41,66246,15,192,100,Yes
100097,Sales,41,31161,23,147,100,Yes
100098,Operations,28,109110,17,210,100,Yes
100099,Support,36,112438,20,207,100,Yes
100100,Support,51,22810,13,180,100,Yes
100101,Operations,30,79860,1,220,100,Yes
100102,Support,52,97199,8,207,100,Yes
100103,Sales,54,91688,5,138,100,Yes
100104,HR,29,85548,6,198,100,Yes
100105,Operations,37,82363,23,150,100,Yes
100106,Marketing,31,31162,20,220,100,Yes
100107,Marketing,52,107858,14,216,100,Yes
100108,Finance,30,93535,22,180,100,Yes
100109,Support,42,27219,23,150,100,Yes
100110,Marketing,37,90864,11,126,95,Yes
100111,Finance,24,23621,6,160,92,Yes
100112,HR,45,109792,11,140,100,Yes
100113,Sales,41,64433,13,189,100,Yes
100114,Sales,57,96850,12,140,100,Yes
100115,Sales,58,86188,22,175,100,Yes
100116,Marketing,21,74951,2,225,100,Yes
100117,HR,45,101718,21,150,100,Yes
100118,Marketing,56,56558,3,184,100,Yes
100119,Support,37,35659,23,230,100,Yes
100120,Marketing,44,54413,4,225,100,Yes
100121,HR,22,30435,17,189,100,Yes
100122,HR,35,73911,22,210,100,Yes
100123,Support,52,48067,6,154,89,Yes
100124,HR,59,107794,7,176,100,Yes
100125,HR,26,113823,15,175,100,Yes
100126,Sales,21,89224,11,200,100,Yes
100127,Support,43,93225,24,200,100,Yes
100128,IT,59,21379,3,168,86,Yes
100129,IT,37,47624,6,200,100,Yes
100130,HR,54,111500,2,240,100,Yes
100131,IT,49,108427,14,184,100,Yes
100132,IT,29,77745,9,180,100,Yes
100133,HR,33,71805,18,140,100,Yes
100134,IT,26,32516,19,198,100,Yes
100135,Marketing,26,99422,12,216,100,Yes
100136,Finance,40,105843,13,140,100,Yes
100137,Support,23,44843,12,207,100,Yes
100138,Finance,37,25912,12,160,100,Yes
100139,HR,32,41514,18,147,100,Yes
100140,Sales,21,107359,9,144,99,Yes
100141,Support,37,77032,17,180,100,Yes
100142,HR,23,48797,21,240,100,Yes
100143,Sales,46,26449,16,140,100,Yes
100144,Finance,35,21725,17,138,100,Yes
100145,HR,56,101406,21,230,100,Yes
100146,Support,52,29304,24,144,100,Yes
100147,Support,52,93058,8,225,100,Yes
100148,Operations,24,33663,11,220,100,Yes
100149,Marketing,38,90320,24,198,100,Yes
100150,IT,39,95008,2,210,100,Yes
100151,Sales,55,114488,8,175,100,Yes
100152,Operations,34,95591,12,176,100,Yes
100153,IT,53,115044,21,192,100,Yes
100154,IT,34,32676,1,132,75,No
100155,HR,54,45192,23,210,100,Yes
100156,IT,24,44722,13,180,100,Yes
100157,Marketing,44,27446,22,154,100,Yes
100158,Support,49,24725,21,168,100,Yes
100159,Operations,39,105597,17,168,100,Yes
100160,IT,26,108207,14,168,100,Yes
100161,HR,53,77632,14,189,100,Yes
100162,Marketing,39,86945,16,161,100,Yes
100163,Finance,21,93741,17,161,100,Yes
100164,Support,25,36365,6,138,100,Yes
100165,Support,47,85792,7,200,100,Yes
100166,Operations,36,84857,1,240,100,Yes
100167,Support,26,35704,15,230,100,Yes
100168,IT,33,70575,20,144,100,Yes
100169,HR,55,49902,21,168,100,Yes
100170,Support,39,21195,18,120,100,Yes
100171,Support,32,73517,13,147,100,Yes
100172,Finance,36,54012,24,216,100,Yes
100173,Finance,30,31415,2,175,95,Yes
100174,Sales,45,59534,19,175,100,Yes
100175,Marketing,40,41686,15,207,100,Yes
100176,IT,51,97198,12,250,100,Yes
100177,Support,24,48743,15,126,100,Yes
100178,Support,43,52161,18,200,100,Yes
100179,HR,22,81313,14,154,100,Yes
100180,Sales,42,22402,6,140,84,Yes
100181,Marketing,57,83190,12,192,100,Yes
100182,Sales,28,72551,20,138,100,Yes
100183,Operations,27,33275,23,147,100,Yes
100184,Marketing,34,48182,6,160,100,Yes
100185,Support,23,34915,9,161,100,Yes
100186,Support,36,20909,4,210,100,Yes
100187,Marketing,39,85908,17,250,100,Yes
100188,Support,38,42620,2,168,85,Yes
100189,IT,36,54112,16,154,100,Yes
100190,Marketing,28,94051,24,220,100,Yes
100191,Sales,53,22431,14,175,100,Yes
100192,Marketing,32,106590,8,144,83,Yes
100193,Support,31,82175,14,120,100,Yes
100194,IT,25,52624,2,216,100,Yes
100195,IT,47,96121,16,150,100,Yes
100196,Operations,32,81264,4,147,63,No
100197,Sales,37,51958,1,140,86,Yes
100198,Finance,26,21695,23,176,100,Yes
100199,Finance,53,69932,20,150,100,Yes
100200,Marketing,25,119323,14,210,100,Yes
100201,Operations,48,64225,8,250,100,Yes
100202,HR,34,21403,3,207,100,Yes
100203,Marketing,25,103346,5,184,100,Yes
100204,Operations,53,94391,6,230,100,Yes
100205,Sales,39,58636,22,198,100,Yes
100206,Sales,42,30839,8,144,100,Yes
100207,Sales,25,85546,6,160,100,Yes
100208,Sales,22,67829,6,176,100,Yes
100209,Sales,50,29230,4,147,77,No
100210,Operations,59,71977,7,126,89,Yes
100211,Operations,24,60232,24,184,100,Yes
100212,IT,53,114792,19,180,100,Yes
100213,Finance,33,45651,7,230,100,Yes
100214,Support,40,117919,3,126,78,No
100215,Sales,27,59963,8,126,91,Yes
100216,HR,35,75872,1,192,100,Yes
100217,Support,43,99198,1,192,100,Yes
100218,Operations,34,33739,14,192,100,Yes
100219,HR,43,83294,6,207,100,Yes
100220,HR,39,68356,10,175,100,Yes
100221,HR,49,21789,14,160,100,Yes
100222,IT,40,39420,4,168,100,Yes
100223,Operations,49,109297,6,154,83,Yes
100224,HR,44,57606,16,144,100,Yes
100225,Sales,38,58640,21,230,100,Yes
100226,Marketing,30,64135,1,200,100,Yes
100227,HR,28,57067,6,216,100,Yes
100228,IT,46,78420,9,180,100,Yes
100229,Support,49,37357,15,220,100,Yes
100230,Operations,30,59851,12,210,100,Yes
100231,IT,37,58262,3,120,75,No
100232,HR,22,96853,11,150,100,Yes
100233,Operations,26,78643,15,240,100,Yes
100234,Marketing,25,41534,3,184,91,Yes
100235,HR,48,111270,14,200,100,Yes
100236,IT,25,52872,2,150,77,No
100237,Finance,38,27689,4,161,92,Yes
100238,Sales,46,89103,19,230,100,Yes
100239,Support,40,106268,12,207,100,Yes
100240,IT,47,106310,2,200,100,Yes
100241,Operations,32,108731,17,140,100,Yes
100242,HR,27,57412,3,184,95,Yes
100243,Sales,23,67734,10,147,87,Yes
100244,HR,30,107793,16,250,100,Yes
100245,Operations,54,89930,22,250,100,Yes
100246,HR,45,42228,9,250,100,Yes
100247,Finance,55,97924,11,132,99,Yes
100248,Sales,36,31319,21,140,100,Yes
100249,Sales,22,26475,15,180,100,Yes
100250,Operations,44,117091,3,207,100,Yes
100251,Support,30,103694,16,250,100,Yes
100252,Finance,58,34728,21,225,100,Yes
100253,IT,42,49545,21,184,100,Yes
100254,HR,46,116636,21,140,100,Yes
100255,Marketing,59,101686,12,161,100,Yes
100256,HR,47,118750,23,161,100,Yes
100257,HR,49,118412,5,184,100,Yes
100258,IT,58,81756,7,138,78,No
100259,HR,40,88775,9,184,100,Yes
100260,Finance,47,58699,21,168,100,Yes
100261,Finance,40,56821,18,168,100,Yes
100262,Sales,39,50615,21,175,100,Yes
100263,Operations,40,33746,8,225,100,Yes
100264,Support,55,106457,12,144,100,Yes
100265,Marketing,22,42745,20,160,100,Yes
100266,HR,50,21245,2,154,74,No
100267,HR,54,44853,10,200,100,Yes
100268,IT,42,47632,19,150,100,Yes
100269,Operations,23,32856,9,240,100,Yes
100270,Finance,26,76893,24,120,100,Yes
100271,Marketing,35,90641,8,154,100,Yes
100272,Sales,47,88049,24,138,100,Yes
100273,Finance,30,78182,24,126,100,Yes
100274,Operations,29,22801,24,168,100,Yes
100275,Support,53,117881,1,240,100,Yes
100276,Sales,52,99431,6,220,100,Yes
100277,Support,26,59749,12,207,100,Yes
100278,IT,56,93757,24,230,100,Yes
100279,IT,22,75654,19,210,100,Yes
100280,HR,49,91574,17,138,100,Yes
100281,Support,24,117567,2,198,89,Yes
100282,Operations,21,75381,11,175,100,Yes
100283,Marketing,39,78601,18,161,100,Yes
100284,Sales,46,35082,23,200,100,Yes
100285,Finance,45,34648,22,225,100,Yes
100286,Operations,30,20364,11,132,100,Yes
100287,Operations,35,54568,18,192,100,Yes
100288,IT,42,99646,8,192,100,Yes
100289,Support,41,91494,15,168,100,Yes
100290,HR,42,94632,9,200,100,Yes
100291,HR,56,27436,15,144,100,Yes
100292,Sales,54,106713,7,198,100,Yes
100293,IT,50,46754,20,168,100,Yes
100294,Operations,45,80194,13,138,100,Yes
100295,Marketing,48,44544,13,168,100,Yes
100296,IT,21,80180,1,160,90,Yes
100297,Sales,24,83295,20,200,100,Yes
100298,Sales,27,32638,4,140,75,No
100299,IT,29,85715,24,154,100,Yes
100300,Sales,56,89409,4,147,81,Yes
100301,IT,39,103106,4,144,73,No
100302,Finance,21,37157,13,144,97,Yes
100303,IT,30,65565,2,120,70,No
100304,Support,56,89996,23,220,100,Yes
100305,IT,29,85888,15,160,100,Yes
100306,Sales,52,76095,4,120,81,Yes
100307,Support,52,84947,6,210,100,Yes
100308,Sales,26,107122,3,176,100,Yes
100309,HR,58,90880,7,126,76,No
100310,HR,37,24507,6,154,87,Yes
100311,Support,30,63988,3,216,100,Yes
100312,Finance,47,118421,4,138,100,Yes
100313,HR,55,36865,10,225,100,Yes
100314,IT,41,47213,21,138,100,Yes
100315,Sales,45,75954,9,154,90,Yes
100316,HR,48,77450,6,207,100,Yes
100317,HR,35,24477,20,200,100,Yes
100318,Finance,24,82222,11,168,100,Yes
100319,Support,49,26533,7,225,100,Yes
100320,Support,29,69395,18,225,100,Yes
100321,Operations,47,43396,4,175,100,Yes
100322,Finance,46,32755,5,168,100,Yes
100323,IT,39,20865,4,161,78,No
100324,Support,48,31173,4,200,100,Yes
100325,Sales,37,78905,13,250,100,Yes
100326,Finance,40,58097,16,132,100,Yes
100327,HR,59,53371,14,180,100,Yes
100328,Sales,43,31254,11,132,90,Yes
100329,Sales,52,24018,2,161,91,Yes
100330,HR,53,25192,22,240,100,Yes
100331,Finance,25,22015,14,240,100,Yes
100332,HR,54,88916,24,176,100,Yes
100333,Operations,31,48343,24,147,100,Yes
100334,Sales,23,89306,7,198,100,Yes
100335,Marketing,53,25829,11,168,100,Yes
100336,Marketing,31,54381,4,154,76,No
100337,IT,36,101081,7,168,100,Yes
100338,Support,38,38263,16,126,92,Yes
100339,HR,50,73260,6,175,100,Yes
100340,HR,30,63306,6,225,100,Yes
100341,IT,38,111211,2,189,100,Yes
100342,IT,58,78418,24,147,100,Yes
100343,IT,39,110898,8,160,100,Yes
100344,Sales,56,20148,7,210,100,Yes
100345,Operations,33,21754,24,175,100,Yes
100346,HR,23,46745,14,189,100,Yes
100347,Sales,30,92914,9,144,86,Yes
100348,IT,58,75833,15,180,100,Yes
100349,HR,21,40140,22,210,100,Yes
100350,Sales,47,94907,18,225,100,Yes
100351,Operations,28,80653,12,250,100,Yes
100352,Sales,37,112535,23,161,100,Yes
100353,Operations,29,81521,19,225,100,Yes
100354,IT,26,98315,13,160,100,Yes
100355,Operations,45,51075,7,200,100,Yes
100356,HR,59,50697,10,216,100,Yes
100357,IT,48,74544,10,198,100,Yes
100358,HR,53,29795,2,144,76,No
100359,Marketing,57,84555,14,216,100,Yes
100360,Finance,29,72204,13,120,90,Yes
100361,Operations,38,89754,22,120,100,Yes
100362,Finance,41,84860,6,138,90,Yes
100363,Finance,22,71529,9,150,100,Yes
100364,Operations,58,31672,13,161,100,Yes
100365,IT,56,74238,9,160,100,Yes
100366,Marketing,57,116578,13,150,100,Yes
100367,HR,35,55950,5,160,90,Yes
100368,Sales,48,31009,14,120,100,Yes
100369,HR,38,67096,5,176,84,Yes
100370,Sales,54,39544,9,216,100,Yes
100371,HR,42,75728,8,207,100,Yes
100372,Operations,31,49381,7,184,100,Yes
100373,Marketing,33,45287,8,126,94,Yes
100374,Sales,24,84610,22,154,100,Yes
100375,Support,42,88122,3,160,100,Yes
100376,IT,27,88184,23,200,100,Yes
100377,HR,44,60081,24,154,100,Yes
100378,HR,24,103637,15,250,100,Yes
100379,Sales,48,65312,8,184,100,Yes
100380,IT,35,107228,1,120,48,No
100381,IT,21,92943,7,210,100,Yes
100382,Operations,23,102790,19,184,100,Yes
100383,Support,34,100770,2,168,82,Yes
100384,Operations,58,72726,14,132,100,Yes
100385,Operations,21,42211,18,230,100,Yes
100386,Operations,58,49480,15,192,100,Yes
100387,Operations,58,67780,14,126,100,Yes
100388,Operations,41,77138,24,150,100,Yes
100389,Marketing,49,110382,19,198,100,Yes
100390,IT,25,62503,19,150,100,Yes
100391,Operations,30,77893,22,160,100,Yes
100392,IT,48,66193,17,175,100,Yes
100393,IT,41,81358,22,180,100,Yes
100394,Finance,27,100857,19,192,100,Yes
100395,Marketing,23,98182,16,184,100,Yes
100396,Operations,40,42117,20,168,100,Yes
100397,HR,39,79056,19,240,100,Yes
100398,Sales,55,78706,1,210,94,Yes
100399,Support,24,90429,19,175,100,Yes
100400,HR,25,29476,7,168,100,Yes
100401,Marketing,21,102806,23,250,100,Yes
100402,Sales,24,75006,11,210,100,Yes
100403,Marketing,32,107238,5,220,100,Yes
100404,IT,47,89918,17,168,100,Yes
100405,Sales,43,83155,11,154,100,Yes
100406,IT,45,87321,24,184,100,Yes
100407,HR,41,65798,8,207,100,Yes
100408,HR,44,97271,10,160,100,Yes
100409,Sales,45,50177,12,200,100,Yes
100410,Sales,52,116248,10,200,100,Yes
100411,Operations,52,102215,13,138,100,Yes
100412,Marketing,25,63013,18,168,100,Yes
100413,Operations,56,102600,10,250,100,Yes
100414,Marketing,59,116099,19,210,100,Yes
100415,Operations,36,73450,20,216,100,Yes
100416,IT,53,118628,17,138,100,Yes
100417,Sales,41,67928,20,200,100,Yes
100418,HR,29,112403,16,175,100,Yes
100419,Marketing,26,65382,5,200,100,Yes
100420,Marketing,55,119290,3,160,80,Yes
100421,HR,59,105038,15,225,100,Yes
100422,Operations,42,20760,2,200,100,Yes
100423,Marketing,25,44142,13,207,100,Yes
100424,Support,43,37290,22,189,100,Yes
100425,IT,37,91035,8,210,100,Yes
100426,Sales,32,20364,23,154,100,Yes
100427,HR,43,76921,17,198,100,Yes
100428,Sales,36,39797,4,144,84,Yes
100429,Support,23,52535,19,138,100,Yes
100430,Marketing,50,66300,22,154,100,Yes
100431,Marketing,42,67176,9,198,100,Yes
100432,Support,29,36105,23,161,100,Yes
100433,HR,49,27939,15,210,100,Yes
100434,IT,57,99472,9,144,100,Yes
100435,Finance,43,62029,24,192,100,Yes
100436,HR,33,35863,21,144,100,Yes
100437,Finance,52,98097,9,198,100,Yes
100438,Support,43,30447,14,147,100,Yes
100439,Operations,37,116160,23,144,100,Yes
100440,Finance,41,66940,21,184,100,Yes
100441,IT,22,97947,16,192,100,Yes
100442,Operations,57,105001,24,140,100,Yes
100443,Finance,26,39642,23,147,100,Yes
100444,Support,38,116798,17,120,100,Yes
100445,Operations,50,115899,13,189,100,Yes
100446,Support,42,87643,9,250,100,Yes
100447,Finance,53,27928,15,184,100,Yes
100448,Support,50,68002,7,175,100,Yes
100449,IT,37,104853,1,220,100,Yes
100450,Finance,52,45017,1,220,100,Yes
100451,Finance,34,99064,5,250,100,Yes
100452,Finance,30,33313,24,189,100,Yes
100453,HR,56,21559,9,168,100,Yes
100454,HR,54,70893,12,160,99,Yes
100455,HR,29,35167,6,161,84,Yes
100456,IT,48,100879,13,144,100,Yes
100457,Operations,31,58598,8,176,100,Yes
100458,Support,34,27523,15,168,100,Yes
100459,Marketing,59,69777,6,200,100,Yes
100460,Finance,39,48439,6,150,85,Yes
100461,Support,35,101060,4,160,87,Yes
100462,Finance,48,33285,11,220,100,Yes
100463,IT,44,30973,21,189,100,Yes
100464,Finance,28,42694,18,138,100,Yes
100465,HR,29,55774,3,200,100,Yes
100466,Marketing,53,24302,3,138,88,Yes
100467,Sales,53,42391,12,220,100,Yes
100468,Finance,39,24611,21,189,100,Yes
100469,Support,23,29372,21,150,100,Yes
100470,HR,30,44312,6,200,100,Yes
100471,Sales,21,34080,21,230,100,Yes
100472,Marketing,49,100618,6,220,100,Yes
100473,Sales,54,116213,8,184,100,Yes
100474,HR,33,40874,15,147,100,Yes
100475,Operations,21,82537,18,120,100,Yes
100476,Operations,54,93914,20,147,100,Yes
100477,Sales,49,21597,16,250,100,Yes
100478,IT,33,31600,6,168,100,Yes
100479,Support,49,23747,21,210,100,Yes
100480,Support,59,99415,17,210,100,Yes
100481,Sales,44,98553,9,207,100,Yes
100482,Finance,46,44815,19,189,100,Yes
100483,Finance,37,104500,18,154,100,Yes
100484,Support,27,114348,23,150,100,Yes
100485,Support,33,44714,5,161,100,Yes
100486,Operations,25,38890,6,138,82,Yes
100487,IT,46,81509,12,168,100,Yes
100488,HR,23,81824,11,200,100,Yes
100489,Finance,27,24725,16,176,100,Yes
100490,Support,59,63205,20,150,100,Yes
100491,Operations,21,40684,17,189,100,Yes
100492,Marketing,37,111861,20,144,100,Yes
100493,Operations,45,77911,9,154,100,Yes
100494,Finance,23,118078,1,240,100,Yes
100495,Finance,35,33092,3,200,100,Yes
100496,Operations,49,115918,21,200,100,Yes
100497,HR,52,59770,23,200,100,Yes
100498,Sales,46,45457,9,147,100,Yes
100499,Finance,36,91667,22,192,100,Yes
100500,Operations,45,110751,19,120,99,Yes
100501,Support,48,82894,13,210,100,Yes
100502,Operations,29,81305,23,240,100,Yes
100503,IT,21,32612,14,168,100,Yes
100504,Sales,49,98627,20,250,100,Yes
100505,Marketing,42,57089,19,168,100,Yes
100506,HR,36,115295,23,216,100,Yes
100507,Marketing,27,72137,7,138,100,Yes
100508,Sales,34,20559,4,192,100,Yes
100509,Sales,49,86249,12,200,100,Yes
100510,Sales,39,57361,23,184,100,Yes
100511,Marketing,39,100720,14,207,100,Yes
100512,Support,22,35261,2,120,60,No
100513,Sales,35,40372,1,210,100,Yes
100514,Operations,23,75355,18,230,100,Yes
100515,Marketing,31,117676,20,132,100,Yes
100516,Sales,50,118560,8,138,99,Yes
100517,Operations,38,77920,3,176,96,Yes
100518,Support,22,52544,6,200,100,Yes
100519,IT,52,20037,22,132,100,Yes
100520,Support,28,63032,13,200,100,Yes
100521,Sales,42,98233,9,120,100,Yes
100522,Marketing,26,61420,9,140,88,Yes
100523,Finance,32,117243,20,176,100,Yes
100524,Sales,56,111552,9,132,97,Yes
100525,Finance,35,54600,15,180,100,Yes
100526,Operations,48,68285,13,120,85,Yes
100527,IT,38,82008,22,147,100,Yes
100528,HR,22,109520,16,180,100,Yes
100529,Support,33,25167,2,216,100,Yes
100530,IT,35,20432,14,126,100,Yes
100531,Sales,40,89687,6,147,100,Yes
100532,Finance,49,91947,2,189,100,Yes
100533,Support,49,116324,8,192,100,Yes
100534,Finance,23,70903,4,168,91,Yes
100535,Marketing,39,112159,21,210,100,Yes
100536,Finance,23,74149,24,220,100,Yes
100537,Marketing,34,107640,14,175,100,Yes
100538,Operations,24,76768,11,198,100,Yes
100539,Support,31,80184,24,160,100,Yes
100540,Support,51,85792,14,160,100,Yes
100541,HR,52,53439,12,161,100,Yes
100542,Sales,47,53257,16,225,100,Yes
100543,Marketing,50,64674,6,168,86,Yes
100544,HR,22,71248,20,132,100,Yes
100545,Finance,29,103602,1,160,78,No
100546,Finance,48,65371,12,168,100,Yes
100547,HR,51,118282,7,147,100,Yes
100548,Support,54,87996,8,144,100,Yes
100549,Finance,35,57297,9,220,100,Yes
100550,Operations,45,74273,2,200,98,Yes
100551,Operations,56,81256,17,161,100,Yes
100552,HR,28,54743,20,176,100,Yes
100553,Marketing,29,88752,13,250,100,Yes
100554,Marketing,57,99803,5,140,89,Yes
100555,HR,59,95117,10,120,80,Yes
100556,Marketing,52,90051,12,192,100,Yes
100557,Support,37,42076,17,132,100,Yes
100558,Support,55,95312,21,200,100,Yes
100559,Marketing,57,107483,6,210,100,Yes
100560,Operations,39,22963,3,168,70,No
100561,Marketing,49,92322,15,230,100,Yes
100562,Support,27,33866,7,216,100,Yes
100563,IT,48,52305,6,160,77,No
100564,Sales,29,82403,4,207,100,Yes
100565,Finance,48,102896,19,210,100,Yes
100566,IT,26,52813,5,184,100,Yes
100567,Marketing,49,86729,3,207,100,Yes
100568,Operations,37,80686,9,200,100,Yes
100569,HR,36,24512,6,140,93,Yes
100570,Marketing,43,42666,13,140,100,Yes
100571,Operations,51,36630,22,144,100,Yes
100572,Sales,23,94519,20,161,100,Yes
100573,Marketing,41,20636,4,207,100,Yes
100574,Support,46,23775,2,168,93,Yes
100575,HR,56,87957,4,168,100,Yes
100576,Operations,57,84591,8,176,100,Yes
100577,Operations,42,98561,13,168,100,Yes
100578,Operations,32,94816,10,168,100,Yes
100579,Sales,33,31351,18,161,100,Yes
100580,Marketing,31,75184,9,138,91,Yes
100581,Sales,36,115707,1,200,100,Yes
100582,Finance,28,89180,13,120,100,Yes
100583,Finance,22,101678,18,207,100,Yes
100584,Marketing,50,93309,15,184,100,Yes
100585,Support,50,114002,2,175,100,Yes
100586,Sales,32,30778,11,200,100,Yes
100587,HR,30,32501,14,200,100,Yes
100588,Operations,31,22108,22,147,100,Yes
100589,Operations,35,114905,15,138,100,Yes
100590,Marketing,36,56382,14,230,100,Yes
100591,Support,37,111354,16,144,100,Yes
100592,Finance,46,95787,23,147,100,Yes
100593,Finance,22,43341,15,132,100,Yes
100594,Operations,32,97214,19,176,100,Yes
100595,Marketing,46,34367,9,154,97,Yes
100596,Sales,43,115208,5,175,93,Yes
100597,Finance,38,89868,5,200,85,Yes
100598,Sales,52,32002,11,220,100,Yes
100599,Support,58,105820,20,240,100,Yes
100600,Finance,23,79949,24,160,100,Yes
100601,Finance,58,35700,4,160,82,Yes
100602,IT,23,99305,20,198,100,Yes
100603,Finance,50,82543,18,140,100,Yes
100604,HR,21,49318,3,210,100,Yes
100605,Marketing,50,109859,4,147,100,Yes
100606,Marketing,52,47610,14,132,100,Yes
100607,Sales,48,92499,7,192,100,Yes
100608,Support,41,93374,8,180,100,Yes
100609,Finance,33,85226,24,138,100,Yes
100610,HR,47,65167,16,154,100,Yes
100611,Sales,56,97779,20,200,100,Yes
100612,IT,27,47939,15,200,100,Yes
100613,Sales,42,81365,7,132,66,No
100614,Sales,30,87381,17,176,100,Yes
100615,Finance,59,66710,22,168,100,Yes
100616,IT,35,36766,22,161,100,Yes
100617,Sales,35,32780,22,120,100,Yes
100618,HR,24,68458,12,132,86,Yes
100619,HR,52,76221,18,132,100,Yes
100620,Marketing,43,21509,24,180,100,Yes
100621,IT,26,109493,14,220,100,Yes
100622,IT,44,54346,15,176,100,Yes
100623,Marketing,40,102799,15,154,100,Yes
100624,Sales,57,66874,5,147,92,Yes
100625,IT,40,46148,16,210,100,Yes
100626,HR,32,51533,5,138,72,No
100627,HR,53,98467,2,144,82,Yes
100628,Finance,48,21359,20,140,100,Yes
100629,IT,28,110068,9,240,100,Yes
100630,Sales,21,80313,22,168,100,Yes
100631,Marketing,57,40344,9,126,100,Yes
100632,Marketing,42,89778,4,184,86,Yes
100633,Sales,26,40601,15,144,100,Yes
100634,Support,41,39116,11,192,100,Yes
100635,Operations,52,76985,1,198,79,No
100636,Finance,55,50782,18,200,100,Yes
100637,Marketing,35,69819,1,207,100,Yes
100638,IT,25,104416,8,120,83,Yes
100639,Finance,26,89035,16,210,100,Yes
100640,IT,45,117123,22,144,100,Yes
100641,Support,49,64458,18,240,100,Yes
100642,HR,27,111556,22,250,100,Yes
100643,Finance,33,28080,9,120,86,Yes
